 -91.423  22.841 10 85 3749 213
 -91.423  22.841 10 85A 3749 302
 -90.963  22.875 10 86 1481 686
 -92.086  23.015 10 87 3761 700
 -94.004  21.382 10 88 2532 135
 -95.112  20.890 10 89 3067 440
 -94.768  23.797 10 90 3713 768
 -93.346  23.773 10 91 3763 900
 -91.822  25.845 10 92 2573 282
 -91.480  22.621 10 93 3090 2
 -88.469  24.527 10 94 1793 660
 -86.397  24.150 10 95 1633 463
 -85.763  23.743 10 96 3439 332
 -84.446  23.884 10 97 2930 337
 -77.311  25.383 11 98 2769 357
 -73.850  23.686 11 99 4914 84
 -73.850  23.686 11 99A 4914 248
 -73.800  24.688 11 100 5325 331
 -74.439  25.199 11 101 4868 76
 -74.439  25.199 11 101A 4868 691
 -74.452  30.732 11 102 3426 661
 -74.583  30.451 11 103 3964 449
 -74.327  30.828 11 104 3811 617
 -69.173  34.895 11 105 5251 633
 -69.462  36.434 11 106 4500 349
 -69.462  36.434 11 106A 4500 361
 -69.430  36.421 11 106B 4504 1015
 -72.475  38.660 11 107 2571 78
 -72.653  38.804 11 108 1845 209
 -46.367  50.426 12 111 1797 250
 -46.367  50.426 12 111A 1797 199
 -46.604  54.017 12 112 3657 664
 -46.604  54.017 12 112A 3657 124
 -48.332  56.790 12 113 3619 923
 -26.800  59.933 12 114 1927 623
 -21.117  58.907 12 115 2883 228
 -15.924  57.496 12 116 1151 854
 -15.924  57.496 12 116A 1151 99
 -15.399  57.336 12 117 1038 156
 -15.399  57.336 12 117A 1038 313
  -9.011  45.044 12 118 4901 761
  -7.975  45.032 12 119 4447 711
 -11.432  36.690 13 120 1711 253
  -4.374  36.161 13 121 1163 867
   2.624  40.448 13 122 2146 162
   2.838  40.630 13 123 2290 398
   4.995  38.873 13 124 2726 422
  20.429  34.625 13 125 2782 97
  20.429  34.625 13 125A 2782 121
  21.427  35.162 13 126 3730 129
  21.427  35.162 13 126A 3733 66
  22.497  35.732 13 127 4654 437
  22.497  35.732 13 127A 4636 80
  22.497  35.732 13 127B 4640 166
  22.468  35.710 13 128 4640 481
  27.082  34.349 13 129 3048 112
  27.082  34.349 13 129A 2832 81
  27.082  34.349 13 129B 3042 42
  27.866  33.605 13 130 2979 563
  27.866  33.605 13 130A 2982 11
  28.512  33.106 13 131 3035 49
  28.512  33.106 13 131A 3037 272
  11.441  40.262 13 132 2835 223
   7.335  39.200 13 133 2563 192
   7.304  39.195 13 134 2864 364
   7.304  39.195 13 134A 2864 50
   7.304  39.195 13 134B 2869 72
   7.304  39.195 13 134C 2869 131
   7.304  39.195 13 134D 2871 214
   7.304  39.195 13 134E 2869 222
 -10.424  35.347 14 135 4152 689
 -16.303  34.169 14 136 4169 313
 -27.061  25.925 14 137 5361 401
 -25.563  25.923 14 138 5288 442
 -18.704  23.519 14 139 3047 665
 -21.792  21.750 14 140 4483 651
 -21.792  21.750 14 140A 4483 253
 -23.998  19.419 14 141 4148 298
 -42.392   3.369 14 142 4372 609
 -54.312   9.474 14 143 3493 32
