-136.3433 58.1933  Elfin_Cove_AK Code: elak Country: USA
102.2781 -5.3461  Enggano Code: engg Country: Indonesia
-66.985 44.9033   East_Port_ME Code: epme Country: USA
121.8954 -33.870899999999999  Esperance_AU Code: espe Country: Australia
-65.6311  18.3336  Fajardo_PR Code: faja Country: Puerto_Rico
-81.465  30.672  Fernadina_Beach_FL Code: fbfl Country: USA
-8.33 43.46  Ferrol1 Code: fer1 Country: Spain
147.0584  -19.2773  Cape_Ferguson_AU Code: ferg Country: Australia
-81.87  26.649999999999999  Fort_Myers_FL Code: fmfl Country: USA
179.1952 -8.5025  Fongafale_TV Code: fong Country: Tuvalu_Islands
-38.4667  -3.716666667  Fortaleza Code: fort Country: Brasil
-80.902 32.033  Fort_Pulaski_GA Code: fpga Country: USA
-122.465 37.807   Ft_Point,San_Fran Code: fpnt Country: USA
-166.283 23.867  Fr._Frigate_US Code: fren Country: USA
-0.151667 38.995556  Gandia Code: gand Country: Spain
73.1517  -0.6867  Gan Code: ganm Country: Maldive_Islands
72.4333  -7.2333  Diego_Garcia Code: garc Country: UK
-5.35 36.13   Gibraltar(FTP) Code: gibr Country: UK
178.0228774 -38.6754097   Gisborne Code: gist Country: New_Zealand
11.783 57.683  GoteborgTorshamnen Code: goto Country: Sweden
-94.793  29.31  Galveston_Pier_TX Code: gptx Country: USA
-89.9567 29.2633  Grand_Isle Code: gran Country: USA
136.41579999999999 -13.859999999999999  Groote_Eylandt Code: groo Country: Australia
144.65199999999999 13.438  Guam Code: guam Country: USA
34.863056999999998 32.470529999999997  Hadera Code: hade Country: Israel
-63.579999999999998 44.67   Halifax Code: hali Country: Canada
81.127499999999998 6.124  Hambantota Code: hamb Country: Sri_Lanka
145.56999999999999 43.28  Hanasaki Code: hana Country: Japan
73.1667  6.7667  Hanimadhoo Code: hani Country: Maldive_Islands
7.891389 54.175832999999997  Helgoland_Binnenhafen Code: helg Country: Germany
-133.0 54.183329999999998  Henslung_Cove Code: hens Country: Canada
115.7386  -31.8255   Hillarys_Harbor_AU Code: hill Country: Australia
-155.05799999999999 19.733  Hilo Code: hilo Country: USA
9.97 57.6  Hirtshals Code: hirt Country: Denmark
-139.0344  -9.8047  Hiva_Oa Code: hiva Country: France
-4.633796 53.310504999999999  Holyhead Code: holy Country: UK
25.983332999999998 70.983333000000002  Honningsvåg Code: honn Country: Norway
-157.86699999999999 21.306999999999999  Honolulu Code: hono Country: USA
8.297499999999999 54.758056000000003  Hörnum Code: horn Country: Germany
-157.81572299999999 21.297978  Hawaii Code: htst Country: Hawaii
-151.032445833 -16.721563332999999  Huahine_island Code: huahi Country: France
-6.83 37.13   Huelva5 Code: huel Country: Spain
1.45 38.916666999999997  Ibiza2 Code: ibiz Country: Spain
8.0192 43.876899999999999  Imperia Code: IM01 Country: Italy
35.5 -23.91666  Inhambane Code: inha Country: Mo�ambique
-70.17  -20.2167  Iquique_CL Code: iqui Country: Chile
-65.435  18.150278  Isabel_Segunda Code: isab Country: Puerto_Rico
124.10 24.20  Ishigakijima Code: ishig Country: Japan
168.61609999999999 -43.9733   Jackson_Bay Code: jack Country: New_Zealand
57.77  25.629999999999999  Jask Code: jask Country: Iran
-169.5233  16.739  Johnston_US Code: john Country: USA
-78.825  -33.616999999999997  Juan_Fernandez Code: juan Country: Chile
-156.472  20.898  Kahului Code: kahu Country: USA
22.109832999999998 37.021532999999998  Kalamata Code: kala Country: Greece
-171.71799999999999 -2.801  Kanton_KI Code: kant Country: Kiribati
154.768 1.085  Kapingamarangi_FM Code: kapi Country: Micronesia
66.974999999999994 24.811699999999998  Karachi Code: kara Country: Pakistan
23.637 35.514   Kasteli Code: kast Country: Greece
21.319233 37.64045  Katakolo Code: kata Country: Greece
-156.9  20.78  Kaumalapau Code: kaum Country: USA
-155.83199999999999 20.036  Kawaihae Code: kawa Country: USA
-36.5 -54.28  King_Edward_Point Code: kepo Country: UK
70.219999999999999 -49.344999999999999  Kerguelen_Island Code: kerg Country: France
142.043889  47.050556  Kholmsk Code: khol Country: Russia
10.274722 54.499721999999998  LT_Kiel Code: kiel Country: Germany
-5.92167 53.311669999999999  Kish_Bank_Lighthouse Code: kis1 Country: Ireland
-152.512 57.731699999999996  Kodiak_Island Code: kodi Country: USA
142.766667  46.633333  Korsakov Code: kors Country: Russia
98.4167  7.8167  Ko_Taphao_Noi Code: kota Country: Thailand
81.319999999999993 6.1966  Kirinda Code: krna Country: Sri_Lanka
167.7383  8.7367  Kwajalein_MH Code: kwaj Country: Marshall_Islands
-81.808  24.553  Key_West_FL Code: kwfl Country: USA
-17.109999999999999 28.09  LaGomera Code: lago Country: Spain
3.40725 6.42052  Lagos Code: lagos Country: Nigeria
-117.258 32.866999999999997  La_Jolla_CA Code: lajo Country: USA
-80.902 -2.209  La_Libertad_EC Code: lali Country: Ecuador
-64.439999999999998 18.199999999999999  LameshurBayStJohnVI Code: lame Country: USA
40.899999999999999 -2.2667  Lamu Code: lamu Country: Kenya
99.7667 6.416  Langkawi Code: lank Country: Malaysia
-17.768611 28.677778  LaPalma Code: lapa Country: Spain
55.5 -4.5  Pt.LaRue Code: laru2 Country: Seychelles
