#Total number of fault_segments=     1
#Fault_segment =   1 nx(Along-strike)=  30 Dx= 15.00km ny(downdip)=  15 Dy= 12.00km
#Boundary of Fault_segment     1
#Lon.  Lat.  Depth
95.05957  2.10917  6.60762
92.46840  5.19209  6.60762
93.67144  6.19988 40.49530
96.26260  3.11697 40.49530
95.05957  2.10917  6.60762
#Lon. Lat. depth slip rake strike dip
2.36152  95.29073  13.93469  472.29132   67.12852 320.0  11.0
2.46486  95.20388  13.93469  757.49139   67.32542 320.0  11.0
2.56820  95.11702  13.93469  790.89178   78.96217 320.0  11.0
2.67153  95.03017  13.93469  802.53619   95.35885 320.0  11.0
2.77487  94.94331  13.93469  799.47314  105.48909 320.0  11.0
2.87821  94.85646  13.93469  762.86682   94.45141 320.0  11.0
2.98155  94.76960  13.93469  766.89307   88.09600 320.0  11.0
3.08489  94.68275  13.93469  832.83136   84.86079 320.0  11.0
3.18822  94.59589  13.93469  963.87372   92.92491 320.0  11.0
3.29156  94.50904  13.93469 1189.39673  107.75034 320.0  11.0
3.39490  94.42219  13.93469 1547.97351  105.17531 320.0  11.0
3.49824  94.33533  13.93469 1805.06421   97.99126 320.0  11.0
3.60158  94.24847  13.93469 1859.74036   91.28614 320.0  11.0
3.70491  94.16162  13.93469 1718.85889   84.17993 320.0  11.0
3.80825  94.07477  13.93469 1421.92590   80.38908 320.0  11.0
3.91159  93.98791  13.93469 1063.46179   75.92255 320.0  11.0
4.01493  93.90105  13.93469  838.98450   70.02054 320.0  11.0
4.11827  93.81420  13.93469  688.64606   72.05202 320.0  11.0
4.22160  93.72735  13.93469  658.36212   78.78042 320.0  11.0
4.32494  93.64050  13.93469  721.10846   86.54438 320.0  11.0
4.42828  93.55363  13.93469  781.27808   86.01668 320.0  11.0
4.53162  93.46678  13.93469  928.99805   89.03345 320.0  11.0
4.63495  93.37993  13.93469 1107.33130   96.44964 320.0  11.0
4.73829  93.29308  13.93469 1280.40222  105.22686 320.0  11.0
4.84163  93.20622  13.93469 1393.23315  109.42718 320.0  11.0
4.94497  93.11936  13.93469 1417.33276  111.97530 320.0  11.0
5.04831  93.03251  13.93469 1311.73877  115.10096 320.0  11.0
5.15165  92.94566  13.93469 1098.23376  117.00642 320.0  11.0
5.25498  92.85880  13.93469  775.06244  111.74208 320.0  11.0
5.35832  92.77194  13.93469  426.87918  104.98750 320.0  11.0
2.42961  95.37202  16.22440  282.10812   69.87188 320.0  11.0
2.53295  95.28516  16.22440  515.21008   76.81626 320.0  11.0
2.63629  95.19831  16.22440  625.27460   91.41685 320.0  11.0
2.73963  95.11145  16.22440  721.15295  106.35998 320.0  11.0
2.84297  95.02460  16.22440  723.97382  104.23526 320.0  11.0
2.94630  94.93774  16.22440  756.06873   85.04900 320.0  11.0
3.04964  94.85089  16.22440  805.17316   81.20697 320.0  11.0
3.15298  94.76404  16.22440  819.50208   81.01342 320.0  11.0
3.25632  94.67718  16.22440  889.84021   88.73006 320.0  11.0
3.35966  94.59032  16.22440 1070.31738  100.78359 320.0  11.0
3.46299  94.50347  16.22440 1492.39624  101.93217 320.0  11.0
3.56633  94.41662  16.22440 1839.50586   96.89760 320.0  11.0
3.66967  94.32976  16.22440 1982.38757   89.68753 320.0  11.0
3.77301  94.24290  16.22440 1915.90234   83.54731 320.0  11.0
3.87635  94.15605  16.22440 1624.27844   78.20821 320.0  11.0
3.97968  94.06920  16.22440 1237.64429   71.61865 320.0  11.0
4.08302  93.98235  16.22440  917.52844   68.78323 320.0  11.0
4.18636  93.89548  16.22440  730.99927   69.48582 320.0  11.0
4.28970  93.80863  16.22440  658.11890   72.25002 320.0  11.0
4.39304  93.72178  16.22440  612.83838   80.59209 320.0  11.0
4.49637  93.63493  16.22440  672.19177   87.53469 320.0  11.0
4.59971  93.54807  16.22440  814.31757   88.94420 320.0  11.0
4.70305  93.46121  16.22440  978.03131   95.30430 320.0  11.0
4.80639  93.37436  16.22440 1150.86572  102.85592 320.0  11.0
4.90973  93.28751  16.22440 1282.30408  108.09205 320.0  11.0
5.01306  93.20065  16.22440 1300.24353  109.34337 320.0  11.0
5.11640  93.11379  16.22440 1189.10791  112.49860 320.0  11.0
5.21974  93.02694  16.22440  967.13788  114.30561 320.0  11.0
5.32308  92.94009  16.22440  716.74719  113.00871 320.0  11.0
5.42641  92.85323  16.22440  410.90979  107.20019 320.0  11.0
2.49771  95.45330  18.51410  171.93414   92.48226 320.0  11.0
2.60105  95.36645  18.51410  356.28964   92.06885 320.0  11.0
2.70438  95.27959  18.51410  496.82666  106.19827 320.0  11.0
2.80772  95.19274  18.51410  578.61230  110.12935 320.0  11.0
2.91106  95.10589  18.51410  583.01776   95.66187 320.0  11.0
3.01440  95.01903  18.51410  665.72626   70.75166 320.0  11.0
3.11774  94.93217  18.51410  729.41260   67.91698 320.0  11.0
3.22107  94.84532  18.51410  761.21997   75.07809 320.0  11.0
3.32441  94.75847  18.51410  742.61700   86.02256 320.0  11.0
3.42775  94.67161  18.51410  860.03137   97.90199 320.0  11.0
3.53109  94.58475  18.51410 1265.67847  100.97629 320.0  11.0
3.63443  94.49790  18.51410 1676.29346   96.42826 320.0  11.0
3.73776  94.41105  18.51410 1938.24133   87.39131 320.0  11.0
3.84110  94.32420  18.51410 1981.49414   82.57887 320.0  11.0
3.94444  94.23734  18.51410 1749.16223   76.28634 320.0  11.0
4.04778  94.15048  18.51410 1374.55530   69.87362 320.0  11.0
4.15112  94.06363  18.51410  975.75562   67.11018 320.0  11.0
4.25445  93.97678  18.51410  698.53424   67.18633 320.0  11.0
4.35779  93.88992  18.51410  554.51581   68.56577 320.0  11.0
4.46113  93.80306  18.51410  434.75702   74.57736 320.0  11.0
4.56447  93.71621  18.51410  448.93997   87.53918 320.0  11.0
4.66781  93.62936  18.51410  554.84918   87.85224 320.0  11.0
4.77114  93.54250  18.51410  713.30017   88.87998 320.0  11.0
4.87448  93.45564  18.51410  871.28461   95.02570 320.0  11.0
4.97782  93.36879  18.51410  979.48523  102.02795 320.0  11.0
5.08116  93.28194  18.51410  970.19482  104.85660 320.0  11.0
5.18450  93.19508  18.51410  885.26471  106.22443 320.0  11.0
5.28783  93.10823  18.51410  712.29120  108.77536 320.0  11.0
5.39117  93.02137  18.51410  547.87683  114.66002 320.0  11.0
5.49451  92.93452  18.51410  313.60046  111.00373 320.0  11.0
2.56580  95.53459  20.80381  151.08383  120.96049 320.0  11.0
2.66914  95.44774  20.80381  270.81445  101.05685 320.0  11.0
2.77248  95.36088  20.80381  319.77277  109.81292 320.0  11.0
2.87582  95.27402  20.80381  340.40393  106.26260 320.0  11.0
2.97915  95.18717  20.80381  345.21637   87.39204 320.0  11.0
3.08249  95.10032  20.80381  485.30011   68.43335 320.0  11.0
3.18583  95.01346  20.80381  600.31366   73.20506 320.0  11.0
3.28917  94.92661  20.80381  661.27136   78.96679 320.0  11.0
3.39251  94.83975  20.80381  655.48242   84.07231 320.0  11.0
3.49584  94.75290  20.80381  721.58344   97.04321 320.0  11.0
3.59918  94.66605  20.80381  991.85815   99.61733 320.0  11.0
3.70252  94.57919  20.80381 1481.66174   94.60456 320.0  11.0
3.80586  94.49233  20.80381 1824.01514   89.18926 320.0  11.0
3.90920  94.40548  20.80381 1921.17773   83.33686 320.0  11.0
4.01253  94.31863  20.80381 1795.06860   77.32475 320.0  11.0
4.11587  94.23177  20.80381 1431.80981   71.96039 320.0  11.0
4.21921  94.14491  20.80381  996.10687   70.57967 320.0  11.0
4.32255  94.05806  20.80381  659.87128   69.30822 320.0  11.0
4.42589  93.97121  20.80381  435.76578   67.09268 320.0  11.0
4.52922  93.88435  20.80381  258.64667   74.15093 320.0  11.0
4.63256  93.79749  20.80381  235.18291   96.14586 320.0  11.0
4.73590  93.71064  20.80381  298.31522   91.76788 320.0  11.0
4.83924  93.62379  20.80381  446.22516   80.00635 320.0  11.0
4.94258  93.53693  20.80381  583.00128   83.25293 320.0  11.0
5.04591  93.45008  20.80381  647.82361   92.36977 320.0  11.0
5.14925  93.36322  20.80381  621.40820   97.12713 320.0  11.0
5.25259  93.27637  20.80381  564.77362   97.22051 320.0  11.0
5.35593  93.18951  20.80381  422.94434  103.64281 320.0  11.0
5.45927  93.10266  20.80381  296.84695  116.74541 320.0  11.0
5.56260  93.01580  20.80381  190.86966  110.65073 320.0  11.0
2.63390  95.61588  23.09352  102.51954  106.38940 320.0  11.0
2.73723  95.52902  23.09352  176.96220   82.69010 320.0  11.0
2.84057  95.44217  23.09352  147.70688   94.09695 320.0  11.0
2.94391  95.35531  23.09352   99.60904   75.80791 320.0  11.0
3.04725  95.26846  23.09352  128.90492   73.72577 320.0  11.0
3.15059  95.18160  23.09352  286.68903   76.27905 320.0  11.0
3.25392  95.09475  23.09352  433.29001   76.35218 320.0  11.0
3.35726  95.00790  23.09352  527.92505   74.96241 320.0  11.0
3.46060  94.92104  23.09352  561.37445   77.72052 320.0  11.0
3.56394  94.83418  23.09352  613.27765   97.72328 320.0  11.0
3.66728  94.74733  23.09352  813.34912   99.17628 320.0  11.0
3.77061  94.66048  23.09352 1280.10156   93.79432 320.0  11.0
3.87395  94.57362  23.09352 1683.45654   88.09509 320.0  11.0
3.97729  94.48676  23.09352 1842.23169   83.04121 320.0  11.0
4.08063  94.39991  23.09352 1783.14331   79.02956 320.0  11.0
4.18397  94.31306  23.09352 1443.63196   73.72082 320.0  11.0
4.28730  94.22620  23.09352  965.42035   69.82584 320.0  11.0
4.39064  94.13934  23.09352  589.44031   67.54047 320.0  11.0
4.49398  94.05249  23.09352  359.25357   67.27558 320.0  11.0
4.59732  93.96564  23.09352  177.85112   69.27496 320.0  11.0
4.70066  93.87878  23.09352   86.14549  113.62299 320.0  11.0
4.80399  93.79192  23.09352  112.82345  102.89715 320.0  11.0
4.90733  93.70507  23.09352  220.22290   77.85342 320.0  11.0
5.01067  93.61822  23.09352  343.85489   68.63396 320.0  11.0
5.11401  93.53136  23.09352  383.91040   80.36252 320.0  11.0
5.21735  93.44451  23.09352  342.25317   88.68810 320.0  11.0
5.32068  93.35765  23.09352  289.63199   86.42979 320.0  11.0
5.42402  93.27080  23.09352  187.51511   91.86884 320.0  11.0
5.52736  93.18394  23.09352  110.69502  119.91035 320.0  11.0
5.63070  93.09709  23.09352   48.07252  105.01830 320.0  11.0
2.70199  95.69716  25.38323  129.68796  115.18348 320.0  11.0
2.80533  95.61031  25.38323  168.63879  107.60046 320.0  11.0
2.90867  95.52345  25.38323  135.62964  122.40819 320.0  11.0
3.01200  95.43660  25.38323   28.13912  107.82354 320.0  11.0
3.11534  95.34975  25.38323   42.40340   68.76868 320.0  11.0
3.21868  95.26289  25.38323  114.28090   71.17660 320.0  11.0
3.32202  95.17603  25.38323  230.08153   70.83964 320.0  11.0
3.42536  95.08918  25.38323  344.00211   67.79298 320.0  11.0
3.52869  95.00233  25.38323  426.62646   71.92799 320.0  11.0
3.63203  94.91547  25.38323  489.22113   95.49101 320.0  11.0
3.73537  94.82861  25.38323  682.68445   93.73272 320.0  11.0
3.83871  94.74176  25.38323 1109.81934   88.84369 320.0  11.0
3.94205  94.65491  25.38323 1519.93738   83.76228 320.0  11.0
4.04538  94.56805  25.38323 1723.94922   80.15070 320.0  11.0
4.14872  94.48119  25.38323 1715.69702   77.56282 320.0  11.0
4.25206  94.39434  25.38323 1418.10571   74.75864 320.0  11.0
4.35540  94.30749  25.38323  972.12396   73.96945 320.0  11.0
4.45874  94.22063  25.38323  577.38000   76.98669 320.0  11.0
4.56207  94.13377  25.38323  356.11508   81.55978 320.0  11.0
4.66541  94.04692  25.38323  215.69453   94.45680 320.0  11.0
4.76875  93.96007  25.38323  149.00812  124.80682 320.0  11.0
4.87209  93.87321  25.38323   59.01422   87.63405 320.0  11.0
4.97543  93.78636  25.38323  125.46484   67.50748 320.0  11.0
5.07876  93.69950  25.38323  209.25821   68.15367 320.0  11.0
5.18210  93.61265  25.38323  191.82669   71.70045 320.0  11.0
5.28544  93.52579  25.38323  125.88379   89.06279 320.0  11.0
5.38878  93.43894  25.38323   62.98056   89.93131 320.0  11.0
5.49212  93.35209  25.38323   65.66787   75.88903 320.0  11.0
5.59545  93.26523  25.38323   50.02352  109.72332 320.0  11.0
5.69879  93.17838  25.38323   12.27789  124.17842 320.0  11.0
2.77008  95.77845  27.67294  218.96893  119.91035 320.0  11.0
2.87342  95.69160  27.67294  303.79681  114.34105 320.0  11.0
2.97676  95.60474  27.67294  206.55138  126.44675 320.0  11.0
3.08010  95.51788  27.67294   63.95831  123.27079 320.0  11.0
3.18344  95.43103  27.67294   72.60411   84.67699 320.0  11.0
3.28677  95.34418  27.67294   42.15224   78.44594 320.0  11.0
3.39011  95.25732  27.67294   30.52018   67.52013 320.0  11.0
3.49345  95.17046  27.67294  145.57301   67.13777 320.0  11.0
3.59679  95.08361  27.67294  241.21475   67.12718 320.0  11.0
3.70013  94.99676  27.67294  338.00681  101.98647 320.0  11.0
3.80346  94.90990  27.67294  595.89209   98.58650 320.0  11.0
3.90680  94.82304  27.67294  953.85748   92.64242 320.0  11.0
4.01014  94.73619  27.67294 1351.18384   86.33424 320.0  11.0
4.11348  94.64934  27.67294 1613.61401   80.47280 320.0  11.0
4.21682  94.56248  27.67294 1632.89746   76.16621 320.0  11.0
4.32015  94.47562  27.67294 1399.95898   73.01668 320.0  11.0
4.42349  94.38877  27.67294 1004.75061   77.24625 320.0  11.0
4.52683  94.30192  27.67294  656.25037   83.88383 320.0  11.0
4.63017  94.21507  27.67294  480.06833   94.15770 320.0  11.0
4.73351  94.12821  27.67294  361.21722  102.81600 320.0  11.0
4.83684  94.04135  27.67294  303.15979  117.93321 320.0  11.0
4.94018  93.95450  27.67294  198.98308   89.42093 320.0  11.0
5.04352  93.86765  27.67294  200.24776   74.01774 320.0  11.0
5.14686  93.78079  27.67294  208.02098   69.98150 320.0  11.0
5.25020  93.69394  27.67294  125.19930   70.38149 320.0  11.0
5.35353  93.60708  27.67294   74.60566  115.39288 320.0  11.0
5.45687  93.52023  27.67294   18.33330   68.80937 320.0  11.0
5.56021  93.43337  27.67294   26.27158   92.35611 320.0  11.0
5.66355  93.34652  27.67294   13.90836  118.24232 320.0  11.0
5.76689  93.25966  27.67294   16.47767  123.15024 320.0  11.0
2.83818  95.85973  29.96264  347.03476  116.15730 320.0  11.0
2.94152  95.77288  29.96264  405.99594  107.38923 320.0  11.0
3.04485  95.68603  29.96264  254.41643  108.06255 320.0  11.0
3.14819  95.59917  29.96264  116.62746   97.76733 320.0  11.0
3.25153  95.51231  29.96264  159.25627   72.75818 320.0  11.0
3.35487  95.42546  29.96264  113.00677   88.18307 320.0  11.0
3.45821  95.33861  29.96264    6.88461  104.35327 320.0  11.0
3.56154  95.25175  29.96264    4.85021   86.93689 320.0  11.0
3.66488  95.16489  29.96264   89.75897   73.88604 320.0  11.0
3.76822  95.07804  29.96264  335.64673  115.52192 320.0  11.0
3.87156  94.99119  29.96264  646.96033  109.25999 320.0  11.0
3.97490  94.90434  29.96264  950.31738  102.96964 320.0  11.0
4.07823  94.81747  29.96264 1279.60376   94.00018 320.0  11.0
4.18157  94.73062  29.96264 1482.89233   87.59943 320.0  11.0
4.28491  94.64377  29.96264 1483.89673   82.28614 320.0  11.0
4.38825  94.55692  29.96264 1312.77515   79.03784 320.0  11.0
4.49159  94.47006  29.96264 1025.57129   84.68423 320.0  11.0
4.59492  94.38320  29.96264  798.14569   92.58855 320.0  11.0
4.69826  94.29635  29.96264  710.91205   96.63741 320.0  11.0
4.80160  94.20950  29.96264  689.94330   99.60650 320.0  11.0
4.90494  94.12264  29.96264  667.49634  103.72594 320.0  11.0
5.00828  94.03578  29.96264  554.60150   85.79607 320.0  11.0
5.11161  93.94893  29.96264  470.11908   76.16390 320.0  11.0
5.21495  93.86208  29.96264  346.21207   74.01939 320.0  11.0
5.31829  93.77522  29.96264  186.94855   69.68359 320.0  11.0
5.42163  93.68837  29.96264  104.47161   91.51026 320.0  11.0
5.52497  93.60151  29.96264   83.94192   78.89272 320.0  11.0
5.62830  93.51466  29.96264   75.97902   79.08212 320.0  11.0
5.73164  93.42780  29.96264   30.41929  112.82899 320.0  11.0
5.83498  93.34095  29.96264    2.73062   88.22112 320.0  11.0
2.90627  95.94102  32.25235  498.70526   87.30389 320.0  11.0
3.00961  95.85416  32.25235  595.25238   79.44398 320.0  11.0
3.11295  95.76731  32.25235  375.86038   72.40386 320.0  11.0
3.21629  95.68046  32.25235  158.82288  105.72845 320.0  11.0
3.31963  95.59361  32.25235  210.86115   99.49200 320.0  11.0
3.42296  95.50674  32.25235  241.97075   97.89093 320.0  11.0
3.52630  95.41989  32.25235  122.95269   85.87897 320.0  11.0
3.62964  95.33304  32.25235    3.40936   77.09998 320.0  11.0
3.73298  95.24619  32.25235   54.29446   87.02657 320.0  11.0
3.83631  95.15932  32.25235  375.14102  115.25143 320.0  11.0
3.93965  95.07247  32.25235  791.07916  110.02732 320.0  11.0
4.04299  94.98562  32.25235 1100.15222  110.96900 320.0  11.0
4.14633  94.89877  32.25235 1274.17749  104.00010 320.0  11.0
4.24967  94.81191  32.25235 1408.93152   93.76124 320.0  11.0
4.35300  94.72505  32.25235 1339.31995   89.31079 320.0  11.0
4.45634  94.63820  32.25235 1165.91235   84.12454 320.0  11.0
4.55968  94.55135  32.25235 1022.64813   84.31226 320.0  11.0
4.66302  94.46449  32.25235  952.55139   89.10693 320.0  11.0
4.76636  94.37763  32.25235  977.86511   89.18316 320.0  11.0
4.86969  94.29078  32.25235 1049.14539   89.42110 320.0  11.0
4.97303  94.20393  32.25235 1009.50500   89.39127 320.0  11.0
5.07637  94.11707  32.25235  899.01270   83.28120 320.0  11.0
5.17971  94.03022  32.25235  751.35065   77.76601 320.0  11.0
5.28305  93.94336  32.25235  596.03302   81.31354 320.0  11.0
5.38638  93.85651  32.25235  370.74329   81.08313 320.0  11.0
5.48972  93.76965  32.25235  266.65317   82.09062 320.0  11.0
5.59306  93.68280  32.25235  253.06471   79.20179 320.0  11.0
5.69640  93.59595  32.25235  211.64529   81.24399 320.0  11.0
5.79974  93.50909  32.25235  143.62897   97.85629 320.0  11.0
5.90307  93.42223  32.25235   84.27584  100.78666 320.0  11.0
2.97437  96.02231  34.54206  733.79956   67.93069 320.0  11.0
3.07771  95.93546  34.54206  829.08386   67.49841 320.0  11.0
3.18104  95.84859  34.54206  513.09851   67.13445 320.0  11.0
3.28438  95.76174  34.54206  225.31555  123.21661 320.0  11.0
3.38772  95.67489  34.54206  309.23575  110.92677 320.0  11.0
3.49106  95.58804  34.54206  422.00754   99.26518 320.0  11.0
3.59440  95.50117  34.54206  337.03497   92.51775 320.0  11.0
3.69773  95.41432  34.54206  132.98497  112.40995 320.0  11.0
3.80107  95.32747  34.54206  110.69701  101.40867 320.0  11.0
3.90441  95.24062  34.54206  439.00064  105.37022 320.0  11.0
4.00775  95.15376  34.54206  973.24420  102.42006 320.0  11.0
4.11108  95.06690  34.54206 1276.25146  106.71581 320.0  11.0
4.21442  94.98005  34.54206 1344.45178  104.67048 320.0  11.0
4.31776  94.89320  34.54206 1299.46436   96.80503 320.0  11.0
4.42110  94.80634  34.54206 1140.02881   91.98120 320.0  11.0
4.52444  94.71948  34.54206  997.98694   87.33259 320.0  11.0
4.62778  94.63263  34.54206  972.25690   85.47185 320.0  11.0
4.73111  94.54578  34.54206 1017.44257   82.68132 320.0  11.0
4.83445  94.45892  34.54206 1142.84473   81.13768 320.0  11.0
4.93779  94.37207  34.54206 1236.44922   82.45071 320.0  11.0
5.04113  94.28521  34.54206 1210.39636   77.82246 320.0  11.0
5.14446  94.19836  34.54206 1045.90173   79.98053 320.0  11.0
5.24780  94.11150  34.54206  895.73553   84.33057 320.0  11.0
5.35114  94.02465  34.54206  713.86572   92.68694 320.0  11.0
5.45448  93.93780  34.54206  499.71149   95.92451 320.0  11.0
5.55782  93.85094  34.54206  414.28860   89.71648 320.0  11.0
5.66115  93.76408  34.54206  392.01953   83.29388 320.0  11.0
5.76449  93.67723  34.54206  337.03000   91.07667 320.0  11.0
5.86783  93.59038  34.54206  265.91006   99.70344 320.0  11.0
5.97117  93.50352  34.54206  168.38069  108.90923 320.0  11.0
3.04246  96.10359  36.83177  823.96271   68.20481 320.0  11.0
3.14580  96.01674  36.83177 1001.54242   72.47932 320.0  11.0
3.24914  95.92989  36.83177  659.25696   74.10722 320.0  11.0
3.35248  95.84303  36.83177  397.35883   97.43237 320.0  11.0
3.45581  95.75617  36.83177  407.15967  101.45371 320.0  11.0
3.55915  95.66932  36.83177  534.36450   99.87419 320.0  11.0
3.66249  95.58247  36.83177  410.81439  102.44005 320.0  11.0
3.76583  95.49561  36.83177  252.54773  114.21987 320.0  11.0
3.86917  95.40875  36.83177  215.54666  111.17371 320.0  11.0
3.97250  95.32190  36.83177  563.31891  104.45159 320.0  11.0
4.07584  95.23505  36.83177 1059.51562   96.70651 320.0  11.0
4.17918  95.14819  36.83177 1282.01318  102.45756 320.0  11.0
4.28252  95.06133  36.83177 1291.56030  102.31557 320.0  11.0
4.38586  94.97448  36.83177 1153.48560   99.51910 320.0  11.0
4.48919  94.88763  36.83177  908.38531   93.67894 320.0  11.0
4.59253  94.80077  36.83177  775.25336   91.79158 320.0  11.0
4.69587  94.71392  36.83177  850.89325   84.00195 320.0  11.0
4.79921  94.62706  36.83177  992.26263   81.23850 320.0  11.0
4.90254  94.54021  36.83177 1123.62659   79.60904 320.0  11.0
