11.88     41.208  KURUB                         Ethiopia           Shield_volcano      Holocene
11.75     41.18   MANDA_GARGORI                 Ethiopia           Fissure_vents       Anthropology
11.63     41.45   BORAWLI                       Ethiopia           Lava_domes          Holocene
12.38     42.20   MANDA-INAKIR                  Ethiopia/Djibouti  Fissure_vents       Anthropology
12.47     42.40   MOUSA_ALLI                    Ethiopia/Eritrea/Djibouti           Stratovolcano       Holocene
12.55     42.53   GUFA                          Eritrea/Djibouti            Volcanic_field      Holocene
12.95     42.43   ASSAB_VOLC_FIELD              Eritrea            Volcanic_field      Holocene
11.58     42.47   ARDOUKÔBA                     Djibouti           Fissure_vents       Historical
11.42     42.20   GARBES                        Djibouti           Fumarole_field      Pleistocene-Fumarolic
11.25     41.83   BOINA                         Djibouti           Fumarole_field      Pleistocene-Fumarolic
11.28     41.63   DAMA_ALI                      Ethiopia           Shield_volcano      Historical
11.08     41.27   GABILLEMA                     Ethiopia           Stratovolcano       Holocene
10.58     41.042  YANGUDI                       Ethiopia           Complex_volcano     Holocene
10.082    40.702  AYELU                         Ethiopia           Stratovolcano       Holocene
10.07     40.84   ADWA                          Ethiopia           Stratovolcano       Holocene
 9.78     40.33   HERTALI                       Ethiopia           Fissure_vent        Holocene
 9.57     40.28   LIADO_HAYK_VOLC_FIELD         Ethiopia           Maars               Holocene?
 9.35     40.13   DOFEN                         Ethiopia           Stratovolcano       Holocene
 8.975    39.93   FENTALE                       Ethiopia           Stratovolcano       Historical
 8.95     39.75   BERU                          Ethiopia           Volcanic_field      Holocene
 8.80     39.692  KONE                          Ethiopia           Calderas            Historical
 8.70     39.63   UNNAMED                       Ethiopia           Pyroclastic_cones   Holocene
 8.558    39.475  BOSET-BERICHA                 Ethiopia           Stratovolcanoes     Holocene
 8.78     38.98   BISHOFTU_VOLC_FIELD           Ethiopia           Fissure_vents       Holocene
 8.62     38.95   UNNAMED                       Ethiopia           Fissure_vents       Holocene
 8.43     39.35   SODORE                        Ethiopia           Pyroclastic_cones   Holocene
 8.35     39.18   GEDAMSA	                Ethiopia           Caldera             Holocene
 8.27     39.03   BORA-BERICCIO_COMPLEX         Ethiopia           Pumice_cones        Holocene
 8.158    39.13   TULLU_MOJE                    Ethiopia           Pumice_cone         Anthropology
 8.07     39.07   UNNAMED                       Ethiopia           Fissure_vents       Holocene
 7.95     38.93   EAST_ZWAY                     Ethiopia           Fissure_vents       Holocene
 8.05     38.35   BUTAJIRI-SILTI_FIELD          Ethiopia           Fissure_vents       Holocene
 7.77     38.78   ALUTU                         Ethiopia           Stratovolcano       Holocene
 7.47     38.55   O'A_CALDERA                   Ethiopia           Caldera             Holocene
 7.18     38.43   CORBETTI_CALDERA              Ethiopia           Caldera             Holocene
 7.07     38.10   BILATE_RIVER_FIELD            Ethiopia           Maars               Holocene
 7.42     35.43   TEPI                          Ethiopia           Shield_volcano      Holocene
 6.78     37.83   HOBICHA_CALDERA               Ethiopia           Caldera             Holocene?
 6.65     38.12   CHIRACHA                      Ethiopia           Stratovolcano       Holocene?
 5.93     37.57   TOSA_SUCHA                    Ethiopia           Cinder_cones        Holocene
 5.65     37.67   UNNAMED                       Ethiopia           Cinder_cones        Holocene
 5.10     35.88   KORATH_RANGE                  Ethiopia           Tuff_cones          Holocene?
 4.08     37.42   MEGA_BASALT_FIELD             Ethiopia/Kenya     Pyroclastic_cones   Holocene
 4.07     36.05   NORTH_ISLAND                  Kenya              Tuff_cones          Holocene
 3.50     36.042  CENTRAL_ISLAND                Kenya              Stratovolcano       Holocene
 2.63     36.60   SOUTH_ISLAND                  Kenya              Stratovolcano       Historical
 2.32     37.97   MARSABIT                      Kenya              Shield_volcano      Holocene?
 2.32     36.57   THE_BARRIER                   Kenya              Shield_volcano      Historical
 1.90     36.27   NAMARUNU                      Kenya              Shield_volcano      Tephrochronology
 1.57     37.90   SEGERERUA_PLATEAU             Kenya              Pyroclastic_cones   Holocene
 1.50     36.33   EMURUANGOGOLAK                Kenya              Shield_volcano      Radiocarbon
 1.15     36.23   SILALI                        Kenya              Shield_volcano      Ar/Ar
 0.92     36.18   PAKA                          Kenya              Shield_volcano      Ar/Ar
 0.77     36.12   KOROSI                        Kenya              Shield_volcano      Holocene
 0.63     36.08   OL_KOKWE                      Kenya              Shield_volcano      Holocene
 0.23     37.87   NYAMBENI_HILLS                Kenya              Shield_volcano      Holocene
 -0.20    36.07   MENENGAI                      Kenya              Shield_volcano      Tephrochronology
 -0.38    34.50   HOMA_MOUNTAIN                 Kenya              Complex_volcano     Holocene
 -0.52    36.27   ELMENTEITA_BADLANDS           Kenya              Pyroclastic_cones   Holocene
 -0.65    36.22   OL_DOINYO_EBURRU              Kenya              Complex_volcano     Holocene
 -0.904   36.292  OLKARIA                       Kenya              Pumice_cones        Radiocarbon
 -0.92    36.45   LONGONOT                      Kenya              Shield_volcano      Anthropology
 -1.175   36.35   SUSWA                         Kenya              Shield_volcano      Holocene
 -2.751   35.902  OL_DOINYO_LENGAI              Kenya              Stratovolcano       Historical
 -2.68    37.88   CHYULU_HILLS                  Kenya              Volcanic_field      Anthropology
 -3.07    37.35   KILIMANJARO                   Tanzania           Stratovolcano       Holocene
 -3.25    36.75   MERU                          Tanzania           Stratovolcano       Historical
 -4.87    31.92   IGWISI_HILLS                  Tanzania           Tuff_cones          Holocene
 -8.63    33.57   UNNAMED                       Tanzania           Pyroclastic_cone    Holocene
 -8.75    33.80   SW_USANGU_BASIN               Tanzania           Lava_domes          Holocene
