 -92.183	25.858	Leg	1	1	2827	770
 -92.059	23.046	Leg	1	2	3572	143
 -92.043	23.030	Leg	1	3	3747	627
 -73.792	24.478	Leg	1	4	5319	382
 -73.641	24.727	Leg	1	5	5354	358
 -67.648	30.840	Leg	1	6	5124	280
 -68.297	30.134	Leg	1	7	5182	532
 -67.553	35.383	Leg	2	8	5184	572
 -59.195	32.773	Leg	2	9	4973	1326
 -52.215	32.862	Leg	2	10	4712	459
 -44.747	29.943	Leg	2	11	3571	307
 -26.000	19.695	Leg	2	12	4557	366
 -18.229	6.040	Leg	3	13	4585	608
 -20.941	-28.331	Leg	3	14	4343	108
 -17.983	-30.890	Leg	3	15	3927	143
 -15.713	-30.336	Leg	3	16	3527	175
  -6.603	-28.046	Leg	3	17	4296	322
  -8.012	-27.979	Leg	3	18	4018	178
 -23.677	-28.535	Leg	3	19	4677	145
 -26.845	-28.525	Leg	3	20	4510	158
 -30.598	-28.585	Leg	3	21	2113	209
 -35.250	-30.005	Leg	3	22	2134	242
 -44.043	10.893	Leg	4	26	5169	1092
 -56.879	15.857	Leg	4	27	5251	556
 -65.622	20.587	Leg	4	28	5251	404
 -69.323	14.785	Leg	4	29	4247	795
 -63.383	12.882	Leg	4	30	1218	430
 -72.027	14.943	Leg	4	31	3369	279
 -31.043	-6.146	Leg	4	23	5079	208
 -30.892	-6.274	Leg	4	24	5148	792
 -39.240	-0.517	Leg	4	25	1916	125
-127.556	37.127	Leg	5	32	4758	215
-127.497	39.475	Leg	5	33	4284	295
-127.276	39.470	Leg	5	34	4322	384
-127.475	40.674	Leg	5	35	3273	390
-130.110	40.985	Leg	5	36	3273	115
-140.719	40.979	Leg	5	37	4682	30
-140.355	38.702	Leg	5	38	5137	48
-139.571	32.805	Leg	5	39	4929	17
-139.901	19.793	Leg	5	40	5183	156
-140.048	19.854	Leg	5	41	5339	34
-140.189	13.843	Leg	5	42	4848	209
-151.375	17.110	Leg	5	43	5405	1
-169.015	19.308	Leg	6	44	1478	75
-178.508	24.265	Leg	6	45	5508	104
 171.438	27.883	Leg	6	46	5769	9
 157.712	32.448	Leg	6	47	2689	250
 158.022	32.408	Leg	6	48	2619	121
 156.600	32.402	Leg	6	49	4282	37
 156.572	32.403	Leg	6	50	4487	80
 153.405	33.475	Leg	6	51	5981	258
 147.130	27.772	Leg	6	52	5744	68
 141.192	18.033	Leg	6	53	4629	284
 140.302	15.610	Leg	6	54	4990	293
 142.535	9.302	Leg	6	55	2850	130
 143.560	8.373	Leg	6	56	2508	270
 143.533	8.682	Leg	6	57	3300	708
 144.418	9.235	Leg	6	58	4497	336
 147.582	11.780	Leg	6	59	5551	318
 145.698	13.667	Leg	6	60	3717	350
 147.062	12.084	Leg	7	61	5570	193
 141.938	1.870	Leg	7	62	2604	944
 147.890	0.836	Leg	7	63	4486	798
 176.986	4.354	Leg	7	65	6142	332
-166.122	2.385	Leg	7	66	5318	279
-157.648	24.376	Leg	7	67	4485	65
 158.610	-1.742	Leg	7	64	2060	1836
-164.173	16.722	Leg	8	68	5466	24
-152.865	6.000	Leg	8	69	4978	460
-140.362	6.335	Leg	8	70	5059	832
-140.315	4.471	Leg	8	71	4419	1031
-138.867	0.442	Leg	8	72	4326	408
-137.469	-1.910	Leg	8	73	4387	304
-136.097	-6.237	Leg	8	74	4431	102
-134.267	-12.517	Leg	8	75	4181	82
-133.228	0.482	Leg	9	77	4291	592
-127.356	7.950	Leg	9	78	4378	320
-121.567	2.550	Leg	9	79	4574	701
-113.809	1.442	Leg	9	81	3865	409
-106.942	2.591	Leg	9	82	3707	334
 -95.737	4.047	Leg	9	83	3646	461
 -82.888	5.749	Leg	9	84	3096	253
-145.661	-14.098	Leg	9	76	4598	36
-121.554	-0.962	Leg	9	80	4411	355
 -91.423	22.841	Leg	10	85	3749	514
 -90.963	22.875	Leg	10	86	1481	686
 -92.086	23.015	Leg	10	87	3761	657
 -94.004	21.382	Leg	10	88	2532	135
 -95.112	20.890	Leg	10	89	3067	380
 -94.768	23.797	Leg	10	90	3713	768
 -93.346	23.773	Leg	10	91	3763	899
 -91.822	25.845	Leg	10	92	2573	282
 -91.480	22.621	Leg	10	93	3090	1
 -88.469	24.527	Leg	10	94	1793	660
 -86.397	24.150	Leg	10	95	1633	463
 -85.763	23.743	Leg	10	96	3439	332
 -84.446	23.884	Leg	10	97	2930	337
 -77.311	25.383	Leg	11	98	2769	357
 -73.850	23.686	Leg	11	99	4914	248
 -73.800	24.688	Leg	11	100	5325	331
 -74.439	25.199	Leg	11	101	4868	767
 -74.452	30.732	Leg	11	102	3426	661
 -74.583	30.451	Leg	11	103	3964	449
 -74.327	30.828	Leg	11	104	3811	617
 -69.173	34.895	Leg	11	105	5251	633
 -69.446	36.427	Leg	11	106	4500	1364
 -72.475	38.660	Leg	11	107	2571	78
 -72.653	38.804	Leg	11	108	1845	209
 -46.367	50.426	Leg	12	111	1797	449
 -46.604	54.017	Leg	12	112	3657	779
 -48.332	56.790	Leg	12	113	3619	863
 -26.800	59.933	Leg	12	114	1927	623
 -21.117	58.907	Leg	12	115	2883	228
 -15.924	57.496	Leg	12	116	1151	940
 -15.399	57.336	Leg	12	117	1038	469
  -9.011	45.044	Leg	12	118	4901	761
  -7.975	45.032	Leg	12	119	4447	711
 -11.432	36.690	Leg	13	120	1711	253
  -4.374	36.161	Leg	13	121	1163	867
   2.624	40.448	Leg	13	122	2146	162
   2.838	40.630	Leg	13	123	2290	398
   4.995	38.873	Leg	13	124	2726	422
  20.429	34.625	Leg	13	125	2782	218
