-84.50 38.03 Lexington
-84.40 39.76 Dayton
-84.39 33.75 Atlanta
-84.26 30.43 Tallahassee
-84.07 9.93 San_Jose
-83.95 42.99 Flint
-83.90 35.97 Knoxville
-83.88 43.60 Bay
-83.75 42.28 Ann_Arbor
-83.61 32.84 Macon
-83.55 41.65 Toledo
-83.28 42.48 Southfield
-83.06 42.34 Detroit
-83.00 39.95 Columbus
-82.94 42.97 Port_Huron
-82.82 27.82 Redington_Beach
-82.80 27.96 Clearwater
-82.79 27.90 Largo
-82.74 28.08 Tarpon_Springs
-82.64 27.77 St._Petersburg
-82.55 35.60 Ashville
-82.45 27.94 Tampa
-82.44 38.40 Huntington
-82.38 23.12 Havana
-82.35 46.53 Sault_Ste_Marie
-82.34 29.08 Ocala
-82.32 29.65 Gainesville
-82.22 36.34 Elizabethton
-82.20 36.59 Bristol
-81.80 24.55 Key_West
-81.68 36.22 Boone
-81.65 30.33 Jacksonville
-81.63 38.35 Charleston
-81.55 41.51 Cleveland
-81.51 41.08 Akron
-81.49 31.15 Brunswick
-81.38 19.29 GeorgeTown
-81.38 28.54 Orlando
-81.32 29.89 St._Augustine
-81.24 42.98 London
-81.10 34.00 Columbia
-81.09 32.08 Savannah
-80.75 28.43 Merritt_Island
-80.70 40.05 Wheeling
-80.39 27.63 Vero_Beach
-80.19 25.78 Miami
-80.19 25.78 Miami
-80.14 26.12 Ft._Lauderdale
-80.13 26.23 Pompano_Beach
-80.07 42.12 Erie
-79.99 40.44 Pittsburgh
-79.94 37.28 Roanoke
-79.93 32.78 Charleston
-79.88 9.36 Colon
-79.56 8.95 Balboa
-79.54 8.95 Panama
-79.41 43.66 Toronto
-79.29 43.09 Hamilton
-79.05 43.09 Niagara_Falls
-79.03 35.92 Chapel_Hill
-78.90 42.88 Buffalo
-78.60 34.79 Raleigh
-78.50 0.00 Quito
-78.49 -0.19 Quito
-78.47 38.04 Charlottesville
-78.40 40.69 Altoona
-78.16 39.18 Winchester
-78.00 24.92 San_Andros
-77.97 39.47 Martinsburg
-77.93 43.13 Webster
-77.71 39.54 Hagerstown
-77.65 36.47 Roanoke_Rapids
-77.60 43.08 Rochester
-77.52 43.01 Pittsford
-77.45 38.29 Fredricksburg
-77.44 37.54 Richmond
-77.40 39.42 Frederick
-77.34 25.06 Nassau
-77.24 38.67 Woodbridge
-77.15 39.08 Rockville
-77.05 38.80 Alexandria
-77.04 -12.05 Lima
-77.01 38.89 Washington
-77.01 41.76 Williamsport
