-11.5  67.7  78.3  220 !SAfr<-NAM
-11.5  67.7  78.3  225 !SAfr<-NAM
-11.5  67.7  78.3  230 !SAfr<-NAM
-11.5  67.7  78.3  235 !SAfr<-NAM
-11.5  67.7  78.3  240 !SAfr<-NAM
-11.5  67.7  78.3  245 !SAfr<-NAM
-11.5  67.7  78.3  250 !SAfr<-NAM
-11.5  67.7  78.3  255 !SAfr<-NAM
-11.5  67.7  78.3  260 !SAfr<-NAM
-11.5  67.7  78.3  265 !SAfr<-NAM
-11.5  67.7  78.3  270 !SAfr<-NAM
-11.5  67.7  78.3  275 !SAfr<-NAM
-11.5  67.7  78.3  280 !SAfr<-NAM
-11.5  67.7  78.3  285 !SAfr<-NAM
-11.5  67.7  78.3  290 !SAfr<-NAM
-11.5  67.7  78.3  295 !SAfr<-NAM
-11.5  67.7  78.3  300 !SAfr<-NAM
-11.5  67.7  78.3  305 !SAfr<-NAM
-11.5  67.7  78.3  310 !SAfr<-NAM
-11.5  67.7  78.3  315 !SAfr<-NAM
-11.5  67.7  78.3  320 !SAfr<-NAM

 22.8  80.9   1.3    5 !SAfr<-GRE
 22.9  80.9   2.6   10 !SAfr<-GRE
 23.2  80.9   4.1   15 !SAfr<-GRE
 24.4  80.6   5.5   20 !SAfr<-GRE
 28.1  79.5   6.8   25 !SAfr<-GRE
 12.5  77.3   8.6   30 !SAfr<-GRE
  7.2  74.8  10.2   35 !SAfr<-GRE
  9.5  72.6  11.5   40 !SAfr<-GRE
 11.4  71.4  12.7   45 !SAfr<-GRE
 20.7  71.0  14.2   50 !SAfr<-GRE
 29.6  71.8  16.8   55 !SAfr<-GRE
 30.5  71.9  17.5   60 !SAfr<-GRE
 32.9  71.3  17.6   65 !SAfr<-GRE
 29.0  69.8  17.9   70 !SAfr<-GRE
 26.6  69.0  18.5   75 !SAfr<-GRE
 21.0  67.6  19.8   80 !SAfr<-GRE
 16.4  66.3  21.5   85 !SAfr<-GRE
 11.5  65.9  24.2   90 !SAfr<-GRE
  5.5  64.2  26.9   95 !SAfr<-GRE
  2.8  62.7  30.1  100 !SAfr<-GRE
  1.6  62.4  33.3  105 !SAfr<-GRE
  0.9  62.1  36.5  110 !SAfr<-GRE
  0.5  61.8  39.7  115 !SAfr<-GRE
  0.8  61.8  43.1  120 !SAfr<-GRE
  1.0  61.9  44.9  125 !SAfr<-GRE
  1.3  62.2  46.0  130 !SAfr<-GRE
  1.6  62.4  47.1  135 !SAfr<-GRE
  1.6  62.7  48.4  140 !SAfr<-GRE
  1.3  62.9  49.7  145 !SAfr<-GRE
  1.8  63.2  51.4  150 !SAfr<-GRE
  3.6  63.7  53.8  155 !SAfr<-GRE
  4.2  64.1  56.0  160 !SAfr<-GRE
  4.8  64.4  58.3  165 !SAfr<-GRE
  5.3  64.7  60.6  170 !SAfr<-GRE
  6.0  64.8  64.1  175 !SAfr<-GRE
  6.0  64.9  64.5  180 !SAfr<-GRE
  5.9  64.9  64.9  185 !SAfr<-GRE
  5.9  65.0  65.4  190 !SAfr<-GRE
  5.8  65.0  65.8  195 !SAfr<-GRE
  5.8  65.1  66.2  200 !SAfr<-GRE
  5.7  65.1  66.7  205 !SAfr<-GRE
  5.7  65.2  67.1  210 !SAfr<-GRE
  5.6  65.2  67.5  215 !SAfr<-GRE
  5.6  65.2  67.5  220 !SAfr<-GRE
  5.6  65.2  67.5  225 !SAfr<-GRE
  5.6  65.2  67.5  230 !SAfr<-GRE
  5.6  65.2  67.5  235 !SAfr<-GRE
  5.6  65.2  67.5  240 !SAfr<-GRE
  5.6  65.2  67.5  245 !SAfr<-GRE
  5.6  65.2  67.5  250 !SAfr<-GRE
  5.6  65.2  67.5  255 !SAfr<-GRE
  5.6  65.2  67.5  260 !SAfr<-GRE
  5.6  65.2  67.5  265 !SAfr<-GRE
  5.6  65.2  67.5  270 !SAfr<-GRE
  5.6  65.2  67.5  275 !SAfr<-GRE
  5.6  65.2  67.5  280 !SAfr<-GRE
